TCA, EAV , Rate ,COL,ESD,HSD,USD,MUN,FIR,LIB,PRK,SAN,MSQ,WTR,TIF,SSA1,SSA2,SSA3,SSA4,
4020,"24,833,531",11.001391,532,34,117,,,ANTIO,ANTIO,,,,,,CTY08,,,,
4021,"15,633,352",10.212943,532,33,117,,,ANTIO,ANTIO,,,,,,CTY08,,,,
4022, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,CTY08,,,,
4023,"276,715",12.009937,532,34,117,,LKVLA,ANTIO,ANTIO,,,,CLCJA,,CTY08,,,,
4024, -   , -   ,532,33,117,,ANTIO,,ANTIO,,,,,,CTY08,,,,
4025,"61,288",12.819477,532,24,117,,OMLCK,ANTIO,ANTIO,,,,,,,,,,
4026,"80,138",10.90691,532,34,117,,,ANTIO,ANTIO,,,,,,NLFPA,,,,
4027, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,NLFPA,,,,
4028, -   ,12.469378,532,24,117,,,ANTIO,ANTIO,,,,,,NLFPA,,,,
4029, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,ANT01,NLFPA,,,
4030, -   , -   ,532,34,117,,,ANTIO,ANTIO,,,,,,NLFPA,,,,
4031, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,,ANT02,NLFPA,,,
4032, -   , -   ,532,33,117,,LKVLA,ANTIO,ANTIO,,,,CLCJA,,,,,,
4033,"1,849,762",12.025731,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,CTY08,,,,
4034,"226,177,775",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,,,,,
4035, -   , -   ,532,34,117,,FOXLK,ANTIO,ANTIO,,,,,,,,,,
4036, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,ANTCC,,,,,
4037, -   , -   ,532,34,117,,ANTIO,,ANTIO,,,,,ANTCC,NLFPA,,,,
4038, -   ,12.265501,532,34,117,,LKVLA,ANTIO,ANTIO,,,,CLCJA,,CTY16,,,,
4039,"7,762,598",12.359982,532,34,117,,LKVLA,ANTIO,ANTIO,,,,CLCJA,,CTY08,CTY16,,,
4040,"42,847,713",9.689857,532,114,124,,FOXLK,FOXLK,FOXLK,,,,,,,,,,
4041,"6,632,751",9.685084,532,114,124,,FOXLK,FOXLK,ANTIO,,,,,,,,,,
4042,"40,452,354",11.142802,532,33,117,,ANTIO,ANTIO,ANTIO,,,,,,,,,,
4043,"447,222",11.237283,532,33,117,,ANTIO,ANTIO,ANTIO,,,,,,CTY08,,,,
4044,"15,788,438",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,NLFPA,,,,
4045,"24,352,691",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,ANT01,NLFPA,,,
4046,"27,927,804",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,,ANT02,NLFPA,,,
4047,"2,126",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,ANTCC,,,,,
4048,"138,000",11.93125,532,34,117,,ANTIO,ANTIO,ANTIO,,,,,ANTCC,NLFPA,,,,
4049,"2,126,540",11.825319,532,34,117,,FOXLK,FOXLK,ANTIO,,,,,,,,,,
4050, -   ,10.90691,532,34,117,,,ANTIO,ANTIO,,,,,ANT03,,,,,
